2theta,intensity
14.89,44.052864
14.9,79.29515
14.91,61.674007
14.92,64.61086
14.93,49.92658
14.94,63.142437
14.95,55.800293
14.96,55.800293
14.97,52.863438
14.98,73.42144
14.99,58.737152
15.0,69.01615
15.01,70.48458
15.02,57.268723
15.03,66.07929
15.04,39.647575
15.05,49.92658
15.06,48.45815
15.07,70.48458
15.08,39.647575
15.09,57.268723
15.1,63.142437
15.11,61.674007
15.12,71.95301
15.13,57.268723
15.14,46.98972
15.15,64.61086
15.16,48.45815
15.17,46.98972
15.18,76.3583
15.19,49.92658
15.2,54.331863
15.21,57.268723
15.22,54.331863
15.23,61.674007
15.24,60.20558
15.25,74.88987
15.26,67.54772
15.27,51.395008
15.28,66.07929
15.29,61.674007
15.3,41.116005
15.31,55.800293
15.32,91.04259
15.33,55.800293
15.34,54.331863
15.35,52.863438
15.36,60.20558
15.37,32.30543
15.38,67.54772
15.39,41.116005
15.4,71.95301
15.41,57.268723
15.42,60.20558
15.43,54.331863
15.44,54.331863
15.45,60.20558
15.46,54.331863
15.47,54.331863
15.48,45.521294
15.49,54.331863
15.5,48.45815
15.51,45.521294
15.52,76.3583
15.53,73.42144
15.54,61.674007
15.55,52.863438
15.56,42.584435
15.57,48.45815
15.58,51.395008
15.59,57.268723
15.6,44.052864
15.61,48.45815
15.62,73.42144
15.63,63.142437
15.64,44.052864
15.65,55.800293
15.66,57.268723
15.67,54.331863
15.68,60.20558
15.69,46.98972
15.7,64.61086
15.71,57.268723
15.72,64.61086
15.73,52.863438
15.74,52.863438
15.75,49.92658
15.76,55.800293
15.77,49.92658
15.78,64.61086
15.79,52.863438
15.8,52.863438
15.81,58.737152
15.82,77.82673
15.83,95.44787
15.84,49.92658
15.85,58.737152
15.86,61.674007
15.87,64.61086
15.88,44.052864
15.89,69.01615
15.9,70.48458
15.91,58.737152
15.92,66.07929
15.93,67.54772
15.94,48.45815
15.95,45.521294
15.96,61.674007
15.97,82.23201
15.98,35.24229
15.99,57.268723
16.0,49.92658
16.01,52.863438
16.02,61.674007
16.03,57.268723
16.04,51.395008
16.05,38.17915
16.06,46.98972
16.07,76.3583
16.08,48.45815
16.09,60.20558
16.1,54.331863
16.11,46.98972
16.12,48.45815
16.13,80.76358
16.14,69.01615
16.15,57.268723
16.16,66.07929
16.17,66.07929
16.18,74.88987
16.19,39.647575
16.2,51.395008
16.21,63.142437
16.22,52.863438
16.23,48.45815
16.24,61.674007
16.25,63.142437
16.26,55.800293
16.27,54.331863
16.28,57.268723
16.29,57.268723
16.3,74.88987
16.31,45.521294
16.32,36.71072
16.33,60.20558
16.34,44.052864
16.35,46.98972
16.36,61.674007
16.37,60.20558
16.38,54.331863
16.39,54.331863
16.4,58.737152
16.41,71.95301
16.42,58.737152
16.43,57.268723
16.44,60.20558
16.45,69.01615
16.46,58.737152
16.47,48.45815
16.48,64.61086
16.49,52.863438
16.5,52.863438
16.51,63.142437
16.52,57.268723
16.53,49.92658
16.54,63.142437
16.55,63.142437
16.56,49.92658
16.57,61.674007
16.58,86.6373
16.59,60.20558
16.6,60.20558
16.61,48.45815
16.62,45.521294
16.63,48.45815
16.64,52.863438
16.65,54.331863
16.66,58.737152
16.67,42.584435
16.68,61.674007
16.69,80.76358
16.7,67.54772
16.71,63.142437
16.72,57.268723
16.73,54.331863
16.74,58.737152
16.75,61.674007
16.76,55.800293
16.77,63.142437
16.78,46.98972
16.79,55.800293
16.8,61.674007
16.81,61.674007
16.82,44.052864
16.83,71.95301
16.84,69.01615
16.85,54.331863
16.86,46.98972
16.87,64.61086
16.88,57.268723
16.89,61.674007
16.9,57.268723
16.91,71.95301
16.92,60.20558
16.93,83.70044
16.94,55.800293
16.95,74.88987
16.96,67.54772
16.97,58.737152
16.98,46.98972
16.99,64.61086
17.0,49.92658
17.01,45.521294
17.02,69.01615
17.03,49.92658
17.04,60.20558
